Streifen,GI_251007,GI_251201,GI_260304,MGRVI_260304,MGRVI_COLOR_260304,GI_260306,MGRVI_260306,MGRVI_COLOR_260306,GI_251203,MGRVI_251203,MGRVI_COLOR_251203,MGRVI_251201,MGRVI_COLOR_251201
ABAlterObstgarten 72,,0.3403090352320467,,,,0.3589367219272637,0.0135072628022164,#a3e635,,,,-0.06105686229069461,#eab308
ABAlterObstgarten 73,,0.33610393004597716,,,,0.3487523456430578,-0.0271317165211102,#eab308,,,,-0.07931347211975323,#eab308
ABAlterObstgarten 74,,0.3306451338782288,,,,0.3396728715455104,-0.053888317774808,#eab308,,,,-0.09850713593569899,#eab308
ABAlterObstgarten 75,,0.3325424461710878,,,,0.3473367783422679,-0.0298213097393817,#eab308,,,,-0.08933522067671892,#eab308
ABAlterObstgarten 76,,0.3362127372722889,,,,0.3522486623638807,-0.007292023651605,#eab308,,,,-0.07354197947373665,#eab308
ABAlterObstgarten 77,,0.32675277672937664,,,,0.3418283796802353,-0.0314548381479242,#eab308,,,,-0.10584993163966909,#eab308
ABAlterObstgarten 78,,0.33120453470901523,,,,0.3417274991239836,-0.0356451919355436,#eab308,,,,-0.09151291616733409,#eab308
ABAlterObstgarten 79,,0.3338310336917529,,,,0.358106553113857,0.0074107112138428,#a3e635,,,,-0.10119500069689948,#eab308
ABAlterObstgarten 80,,0.33218313431489843,,,,0.3444652053516718,-0.0333506740316424,#eab308,,,,-0.08824843073510566,#eab308
ABAlterObstgarten 81,,0.34028373212378044,,,,0.3588276264322011,0.0090451848638282,#a3e635,,,,-0.07719654165831805,#eab308
ABAlterObstgarten 82,,0.33632098474094524,,,,0.3457944268540178,-0.0256112252013722,#eab308,,,,-0.08442834406325964,#eab308
ABAlterObstgarten 83,,0.3367541620143571,,,,0.3569134292304926,0.0061873892496437,#a3e635,,,,-0.0868005955616552,#eab308
ABAlterObstgarten 84,,0.34136441804471335,,,,0.3466152816249271,-0.0294084165551772,#eab308,,,,-0.045426956665346754,#eab308
ABAlterObstgarten 85,,0.3641195874675526,,,,0.3362717267688794,-0.0837570701930312,#eab308,,,,0.020463476976364574,#a3e635
ABAlterObstgarten 86,,0.35711463532860244,,,,0.3289058867594795,-0.1048718722888896,#eab308,,,,-0.015790807440567444,#eab308
ABAlterObstgarten 87,,0.3610976072275686,,,,0.3380468965101729,-0.0694565121188274,#eab308,,,,0.01903282947981175,#a3e635
ABAlterObstgarten 88,,0.3287615991968817,,,,0.3457595453738076,-0.0272492890633785,#eab308,,,,-0.08488601771297832,#eab308
ABAlterObstgarten 89,,0.33855605551897505,,,,0.3474733504946096,-0.026353138392523,#eab308,,,,-0.047104122384594355,#eab308
ABAlterObstgarten 90,,0.33666955953794336,,,,0.3528931614889177,-0.0047332057515072,#eab308,,,,-0.05970708391244315,#eab308
ABAlterObstgarten 91,,0.33704672617443665,,,,0.3517638603216443,-0.0122557773567409,#eab308,,,,-0.06093801996320972,#eab308
ABAlterObstgarten 92,,0.33237595642241347,,,,0.3484659461926254,-0.0232164948236812,#eab308,,,,-0.06860155895782802,#eab308
ABAlterObstgarten 93,,0.3241318379372291,,,,0.3384485938984494,-0.0446953448814608,#eab308,,,,-0.09634302819231023,#eab308
ABAlterObstgarten 94,,0.32671447585297664,,,,0.3392827472070392,-0.0344819552299808,#eab308,,,,-0.0889891444815022,#eab308
ABAlterObstgarten 95,,0.33090078027996594,,,,0.35206632307623,-0.0082307272699232,#eab308,,,,-0.09168107326110968,#eab308
ABAlterObstgarten 96,,0.3427040980300011,,,,0.3598999968699328,0.017487537585389,#a3e635,,,,-0.04028590508453575,#eab308
ABAlterObstgarten 97,,0.3892535887238359,,,,0.3872582351855537,0.0865401663809172,#a3e635,,,,0.14529201040204212,#a3e635
ABAlterObstgarten 98,,0.3601492396598657,,,,0.3700996364087788,0.053561650357236,#a3e635,,,,0.030182884066172193,#a3e635
ABAlterObstgarten 99,,0.3498760650994604,,,,0.3648487294422396,0.0375256099696985,#a3e635,,,,-0.012282871653287545,#eab308
Forsthaus_Ecke 120,,,,,,0.4424836855628242,0.167333208310444,#a3e635,,,,,
Forsthaus_Ecke 121,,,,,,0.4496634284921617,0.1813887969829584,#a3e635,,,,,
Forsthaus_Ecke 122,,,,,,0.3786173542646511,-0.0137148576045654,#eab308,,,,,
Forsthaus_Ecke 123,,,,,,0.3754821748877825,-0.0177758614053859,#eab308,,,,,
Forsthaus_Ecke 124,,,,,,0.3876351277626907,0.0072256472601931,#a3e635,,,,,
Forsthaus_Ecke 125,,,,,,0.441536635690788,0.1169248741831096,#a3e635,,,,,
Forsthaus_Ecke 126,,,,,,0.4524725530251785,0.1308649886369718,#a3e635,,,,,
Forsthaus_Ecke 127,,,,,,0.4506190015704593,0.1309378398758396,#a3e635,,,,,
Forsthaus_Ecke 128,,,,,,0.4408102462684847,0.1117403231007289,#a3e635,,,,,
Forsthaus_Ecke 129,,,,,,0.4396474272240125,0.0896197510424607,#a3e635,,,,,
Forsthaus_Unten 100,,,,,,0.4010859607620045,0.0675585312752419,#a3e635,,,,,
Forsthaus_Unten 101,,,,,,0.4046402381506822,0.0765203798406354,#a3e635,,,,,
Forsthaus_Unten 102,,,,,,0.4028064276582851,0.0685054112131695,#a3e635,,,,,
Forsthaus_Unten 103,,,,,,0.4023047796127098,0.0671566162044371,#a3e635,,,,,
Forsthaus_Unten 104,,,,,,0.3985808268558309,0.0610868885968169,#a3e635,,,,,
Forsthaus_Unten 105,,,,,,0.4020957845631498,0.0668769779875152,#a3e635,,,,,
Forsthaus_Unten 106,,,,,,0.4136440603416875,0.0946678545132549,#a3e635,,,,,
Forsthaus_Unten 107,,,,,,0.432130167836423,0.1385979709433821,#a3e635,,,,,
Forsthaus_Unten 108,,,,,,0.4087541607819769,0.0865779392177302,#a3e635,,,,,
Forsthaus_Unten 109,,,,,,0.4010387677164815,0.0674929342208271,#a3e635,,,,,
Forsthaus_Unten 110,,,,,,0.3970391682982643,0.0593557435364899,#a3e635,,,,,
Forsthaus_Unten 111,,,,,,0.4057355920241718,0.0778773496989719,#a3e635,,,,,
Forsthaus_Unten 112,,,,,,0.3672508134889404,-0.0365014387763445,#eab308,,,,,
Forsthaus_Unten 113,,,,,,0.4006187064406028,0.0636671710535547,#a3e635,,,,,
Forsthaus_Unten 114,,,,,,0.3988055694322388,0.0596278704018014,#a3e635,,,,,
Forsthaus_Unten 115,,,,,,0.4061752387491914,0.0736770643970913,#a3e635,,,,,
Forsthaus_Unten 116,,,,,,0.3999442718013282,0.0629206491343677,#a3e635,,,,,
Forsthaus_Unten 117,,,,,,0.4039751438425923,0.0691713781497522,#a3e635,,,,,
Forsthaus_Unten 118,,,,,,0.4004848636434258,0.0619482602530443,#a3e635,,,,,
Forsthaus_Unten 119,,,,,,0.4152173843284513,0.0978153933466226,#a3e635,,,,,
Forsthaus_Unten 120,,,,,,0.4315256264446082,0.1399573316857103,#a3e635,,,,,
Forsthaus_Unten 121,,,,,,0.4275350613627424,0.1213443600820408,#a3e635,,,,,
Forsthaus_Unten 122,,,,,,0.4016593532210701,0.0611456119718685,#a3e635,,,,,
Forsthaus_Unten 123,,,,,,0.4060596505063621,0.06985041141586,#a3e635,,,,,
Forsthaus_Unten 124,,,,,,0.4111220238688665,0.0818885575868451,#a3e635,,,,,
Forsthaus_Unten 125,,,,,,0.4031005140971285,0.0588438970386602,#a3e635,,,,,
Forsthaus_Unten 126,,,,,,0.4069417744677793,0.0686612313001777,#a3e635,,,,,
Forsthaus_Unten 127,,,,,,0.4050453597245581,0.0500463566653343,#a3e635,,,,,
Forsthaus_Unten 128,,,,,,0.4038245618658738,0.0541932888719468,#a3e635,,,,,
Forsthaus_Unten 129,,,,,,0.4041030380979979,0.053816643612779,#a3e635,,,,,
Forsthaus_Unten 130,,,,,,0.4035419165419084,0.0614560451428501,#a3e635,,,,,
Forsthaus_Unten 131,,,,,,0.3991575697050704,0.0509972166642545,#a3e635,,,,,
Forsthaus_Unten 132,,,,,,0.3899158680524524,0.0159364901286202,#a3e635,,,,,
Forsthaus_Unten 133,,,,,,0.3975433119215993,0.0332382397134117,#a3e635,,,,,
Forsthaus_Unten 134,,,,,,0.3699184685534311,-0.0206091693831694,#eab308,,,,,
Forsthaus_Unten 135,,,,,,0.3620292375478812,-0.0456458935087183,#eab308,,,,,
Forsthaus_Unten 136,,,,,,0.3563260843734656,-0.0498637846437208,#eab308,,,,,
Forsthaus_Unten 137,,,,,,0.3613445094601279,-0.0414639896502543,#eab308,,,,,
Forsthaus_Unten 138,,,,,,0.3535618893808927,-0.0512863025206333,#eab308,,,,,
Forsthaus_Unten 139,,,,,,0.3519357963496373,-0.0480297770509585,#eab308,,,,,
Forsthaus_Unten 140,,,,,,0.3519130579688267,-0.0418274930448778,#eab308,,,,,
Forsthaus_Unten 141,,,,,,0.3548093248164675,-0.0356681523071016,#eab308,,,,,
Forsthaus_Unten 142,,,,,,0.4152406828606449,0.0957042976530667,#a3e635,,,,,
Forsthaus_Unten 28,,,,,,0.3419364955681057,-0.0617057879352632,#eab308,,,,,
Forsthaus_Unten 29,,,,,,0.3400191430050631,-0.0691473351230171,#eab308,,,,,
Forsthaus_Unten 30,,,,,,0.3412373579093283,-0.0626034525964767,#eab308,,,,,
Forsthaus_Unten 31,,,,,,0.3388856649605032,-0.0752330024364853,#eab308,,,,,
Forsthaus_Unten 32,,,,,,0.3475822769186273,-0.0524667789445569,#eab308,,,,,
Forsthaus_Unten 33,,,,,,0.3432332037620451,-0.0720685696263926,#eab308,,,,,
Forsthaus_Unten 34,,,,,,0.3413921503874384,-0.0758753469155599,#eab308,,,,,
Forsthaus_Unten 35,,,,,,0.3578295050655255,-0.0203149570075746,#eab308,,,,,
Forsthaus_Unten 36,,,,,,0.3686098449324728,0.0238969620644498,#a3e635,,,,,
Forsthaus_Unten 37,,,,,,0.3655178556872881,0.0196960804997173,#a3e635,,,,,
Forsthaus_Unten 38,,,,,,0.3631443195536079,0.006533190604891,#a3e635,,,,,
Forsthaus_Unten 39,,,,,,0.3691705032051832,0.0381550559448878,#a3e635,,,,,
Forsthaus_Unten 40,,,,,,0.3830496013964717,0.0818443002382257,#a3e635,,,,,
Forsthaus_Unten 41,,,,,,0.3741072701569131,0.0449066326490363,#a3e635,,,,,
Forsthaus_Unten 42,,,,,,0.3811857471879569,0.0808381086890656,#a3e635,,,,,
Forsthaus_Unten 43,,,,,,0.3772818747930567,0.0693555872908319,#a3e635,,,,,
Forsthaus_Unten 44,,,,,,0.3807096760613081,0.0805010273489886,#a3e635,,,,,
Forsthaus_Unten 45,,,,,,0.3746770892670894,0.0597592779466872,#a3e635,,,,,
Forsthaus_Unten 46,,,,,,0.3814612428373144,0.0751064576686308,#a3e635,,,,,
Forsthaus_Unten 47,,,,,,0.3700424248506563,0.0392469952297113,#a3e635,,,,,
Forsthaus_Unten 48,,,,,,0.3797143798136329,0.0679623282662809,#a3e635,,,,,
Forsthaus_Unten 49,,,,,,0.366605795096922,0.0196318601772285,#a3e635,,,,,
